ID,FA_0,FA_5,FA_10,FA_15,FA_20,FA_25
sub-PDa118,0.381076872348785,0.381560444831848,0.382153928279877,0.384481728076935,0.385339558124542,0.387755542993546
sub-PDa119,0.382647007703781,0.382888972759247,0.38233682513237,0.382604390382767,0.383060604333878,0.384549111127853
sub-PDa120,0.376847624778748,0.377231597900391,0.377586841583252,0.38014543056488,0.381075888872147,0.38390263915062
sub-PDa121,0.371892184019089,0.372277796268463,0.372635632753372,0.375135451555252,0.375951111316681,0.378210455179214
sub-PDa122,0.384418517351151,0.384913176298141,0.385278791189194,0.38713127374649,0.38794881105423,0.390428334474564
sub-PDa123,0.321704715490341,0.322762489318848,0.324190855026245,0.32777738571167,0.328688591718674,0.331026464700699
sub-PDa124,0.393160998821259,0.396898746490479,0.398660898208618,0.403610378503799,0.404868870973587,0.40794375538826
sub-PDa125,0.388018131256104,0.388067811727524,0.389325588941574,0.396203577518463,0.397925347089767,0.401609688997269
sub-PDa126,0.392453968524933,0.392346501350403,0.393013268709183,0.396961867809296,0.398096650838852,0.400833189487457
sub-PDa127,0.382082730531693,0.382840603590012,0.38372927904129,0.387839138507843,0.38899764418602,0.392096728086472
sub-PDa128,0.373160630464554,0.374176323413849,0.375142127275467,0.379196554422379,0.380104571580887,0.382353603839874
sub-PDa130,0.382417410612106,0.381949096918106,0.381535738706589,0.381639569997787,0.381901472806931,0.383056640625
sub-PDa132,0.370539963245392,0.370460480451584,0.370841920375824,0.372487932443619,0.372990757226944,0.37462791800499
sub-PDa133,0.369084417819977,0.368932127952576,0.368544280529022,0.368804603815079,0.369070082902908,0.370268166065216
sub-PDa134,0.389947950839996,0.392193734645844,0.393696010112762,0.399073719978333,0.400212049484253,0.402996212244034
sub-PDa135,0.393548607826233,0.394830316305161,0.396233439445496,0.400021433830261,0.40124300122261,0.404512405395508
sub-PDa136,0.389064073562622,0.389178872108459,0.389838933944702,0.393759936094284,0.39495512843132,0.397903442382812
sub-PDa137,0.373621642589569,0.374482065439224,0.37564942240715,0.379652470350266,0.380779415369034,0.383525550365448
sub-PDa138,0.377621114253998,0.378122448921204,0.37879091501236,0.382207214832306,0.383177757263184,0.385737150907516
sub-PDa139,0.380131036043167,0.380069702863693,0.379685878753662,0.380396574735641,0.380862921476364,0.382543832063675
sub-PDa140,0.385445058345795,0.390527546405792,0.392704695463181,0.397403120994568,0.39862534403801,0.401614338159561
sub-PDa141,0.385930299758911,0.38648647069931,0.387246608734131,0.390248656272888,0.391304224729538,0.394081681966782
sub-PDa142,0.394205033779144,0.394655108451843,0.3955437541008,0.399886071681976,0.401123404502869,0.404146403074265
sub-PDa143,0.368579089641571,0.369155734777451,0.369739770889282,0.370928168296814,0.371328920125961,0.372661679983139
sub-PDa144,0.38179075717926,0.382219076156616,0.383160144090652,0.386972337961197,0.388012915849686,0.390711963176727
sub-PDa146,0.391111314296722,0.391321271657944,0.391772150993347,0.394173860549927,0.395013749599457,0.397302776575089
sub-PDa147,0.401355862617493,0.401629269123077,0.402401089668274,0.406424552202225,0.407637804746628,0.410719901323318
sub-PDa148,0.371439337730408,0.374186158180237,0.376818180084229,0.383157342672348,0.384638249874115,0.388215571641922
sub-PDa149,0.381862580776215,0.383032143115997,0.383824020624161,0.387190788984299,0.388228237628937,0.390859663486481
sub-PDa150,0.385051995515823,0.385698854923248,0.386396646499634,0.390436708927155,0.391728192567825,0.394868582487106
sub-PDa151,0.360658168792725,0.36120143532753,0.361763596534729,0.364361643791199,0.365131765604019,0.367129534482956
sub-PDa165,0.386047750711441,0.38713139295578,0.388216644525528,0.391537398099899,0.392481595277786,0.394943714141846
sub-PDa174,0.386961758136749,0.387726992368698,0.387994945049286,0.390437662601471,0.391295790672302,0.393506437540054
sub-PDa189,0.343994528055191,0.34499192237854,0.347721695899963,0.354061216115952,0.355405330657959,0.358650982379913
sub-PDa192,0.381772935390472,0.383029222488403,0.383921086788177,0.387169659137726,0.388032644987106,0.390407234430313
sub-PDa202,0.398778259754181,0.399459838867188,0.400165408849716,0.40421050786972,0.405321180820465,0.408036261796951
sub-PDa213,0.378078818321228,0.378654092550278,0.379193514585495,0.381404012441635,0.382008999586105,0.383834779262543
sub-PDa287,0.377451777458191,0.378101974725723,0.378819972276688,0.382871210575104,0.38408637046814,0.38725072145462
sub-PDa290,0.384931683540344,0.38524916768074,0.386154860258102,0.389506042003632,0.390685737133026,0.393917143344879
sub-PDa299,0.389306604862213,0.39066356420517,0.39188939332962,0.395863920450211,0.396978288888931,0.399675518274307
sub-PDa347,0.354649603366852,0.354815870523453,0.355499297380447,0.360335290431976,0.361604660749435,0.365171313285828
sub-PDa365,0.397004306316376,0.398113489151001,0.399793535470963,0.404447495937347,0.405759960412979,0.409070461988449
sub-PDa371,0.366148471832275,0.366847217082977,0.36788421869278,0.3719781935215,0.373119473457336,0.376099020242691
sub-PDa372,0.380892664194107,0.381521165370941,0.382342308759689,0.385526239871979,0.38648995757103,0.389099568128586
sub-PDa373,0.381235599517822,0.382126957178116,0.383884459733963,0.388347148895264,0.38964518904686,0.393241286277771
sub-PDa374,0.385062247514725,0.385417699813843,0.386201411485672,0.391017615795135,0.392299741506577,0.395499229431152
sub-PDa375,0.379014581441879,0.3788161277771,0.378751039505005,0.382211953401566,0.383295893669128,0.386021912097931
sub-PDa376,0.376811474561691,0.37750917673111,0.378495901823044,0.381673365831375,0.382571578025818,0.384980052709579
sub-PDa382,0.387188136577606,0.387683749198914,0.388535499572754,0.393371492624283,0.394713371992111,0.398079127073288
sub-PDa391,0.384131073951721,0.385005682706833,0.386272042989731,0.391144812107086,0.392410844564438,0.395427256822586
sub-PDa394,0.376015484333038,0.377029448747635,0.378156214952469,0.382243186235428,0.383329123258591,0.386157840490341
sub-PDa399,0.392420202493668,0.396018117666245,0.39793387055397,0.403989315032959,0.405517399311066,0.40906810760498
sub-PDa401,0.385118454694748,0.385182738304138,0.38556045293808,0.388873636722565,0.389868497848511,0.3926742374897
sub-PDa402,0.357774078845978,0.357436954975128,0.357590019702911,0.358805686235428,0.359423160552979,0.361288905143738
sub-PDa409,0.391403824090958,0.392053365707397,0.392886519432068,0.397327542304993,0.398567497730255,0.401732832193375
sub-PDa411,0.394638508558273,0.395941197872162,0.396622091531754,0.399024128913879,0.399696797132492,0.40160596370697
